,Ponderation,Plane,3D,Injection ,Saturation,b (DWI),Observation,
InPhase Ax LAVA-Flex rapide,T1,Ax,3D,,,,,
InPhase Ax LAVA-Flex rapide GADO,T1,Ax,3D,1,,,,
InPhase Cor LAVA-Flex Gado,T1,Cor,3D,1,,,,
InPhase Sag LAVA-Flex gado,T1,Sag,3D,1,,,,
InPhase SAG LAVA-Flex TARDIF,T1,Sag,3D,1,,,,
InPhase WATER 3D T1 gd ch gado,T1,,3D,1,1,,,
InPhase AX 3D T1 FLEX,T1,Ax,3D,,,,,
InPhase AX 3D T1 FLEX GADO,T1,Ax,3D,1,,,,
InPhase Ax IPOP FLEX,T1,Ax,,,,,,
InPhase Ax LAVA-FLEX,T1,Ax,3D,,,,,
KEY_IMAGES,,,,,,,screenshot,
LAVA perf GADO XV,T1,,3D,1,,,perf,
LOC,,,,,,,loc,
LOC mesSage erreur propeller,,,,,,,loc,
LOCA HASTE,,,,,,,loc,
Localizer,,,,,,,loc,
LOCALIZER,,,,,,,loc,
LOCALIZER BOT,,,,,,,loc,
MAximum Slope of Decrease -,,,,,,,screenshot,
MAximum Slope of Increase -,,,,,,,screenshot,
Myrian(r) 64 Carte ADC (par rÈgression) 2 B,,,,,,ADC,,
New,,,,,,,screenshot,
New 1,,,,,,,screenshot,
New 2,,,,,,,screenshot,
New 3,,,,,,,screenshot,
New 4,,,,,,,screenshot,
Nth - 1st,,,,,,,substraction,
OutPhase Ax LAVA HR-FLEX IV-,,Ax,3D,,,,OP,
OutPhase AX LAVA-Flex,,Ax,3D,,,,OP,
OutPhase Ax LAVA-Flex,,Ax,3D,,,,OP,
OutPhase Ax LAVA-FLEX,,Ax,3D,,,,OP,
OutPhase Ax LAVA-Flex GADO,,Ax,3D,1,,,OP,
OutPhase Ax LAVA-Flex gado,,Ax,3D,1,,,OP,
OutPhase AX LAVA-Flex gado,,Ax,3D,1,,,OP,
OutPhase Ax LAVA-FLEX HR 2014,,Ax,3D,,,,OP,
OutPhase Ax LAVA-FLEX IV-,,Ax,3D,,,,OP,
OutPhase Ax LAVA-Flex PELVIS,,Ax,3D,,,,OP,
OutPhase Ax LAVA-Flex rapide,,Ax,3D,,,,OP,
OutPhase Ax LAVA-Flex rapide GADO,,Ax,3D,1,,,OP,
OutPhase Cor LAVA-Flex Gado,,Cor,3D,1,,,OP,
OutPhase Sag LAVA-Flex gado,,Sag,3D,1,,,OP,
OutPhase SAG LAVA-Flex TARDIF,,Sag,3D,1,,,OP,
OutPhase Ax IPOP FLEX,,Ax,,,,,OP,
OutPhase Ax LAVA-FLEX,,Ax,3D,,,,OP,
Perf INJ 4eme TPS,T1,,,1,,,perf,
Perfusion,T1,,,1,,,perf,
Ph1/Ax LAVA DYN,T1,Ax,3D,1,,,,
Ph1/Ax LAVA DYN rapide,T1,Ax,3D,1,,,,
Ph1/Ax LAVA EXPI,T1,Ax,3D,1,,,,
Ph1/Sag LAVA Dyn Gado,T1,Sag,3D,1,,,,
Ph2/Ax LAVA DYN,T1,Ax,3D,1,,,,
Ph2/Ax LAVA DYN rapide,T1,Ax,3D,1,,,,
Ph2/Ax LAVA EXPI,T1,Ax,3D,1,,,,
Ph2/Sag LAVA Dyn Gado,T1,Sag,3D,1,,,,
Ph3/Ax LAVA DYN,T1,Ax,3D,1,,,,
Ph3/Ax LAVA DYN rapide,T1,Ax,3D,1,,,,
Ph3/Ax LAVA EXPI,T1,Ax,3D,1,,,,
Ph3/Sag LAVA Dyn Gado,T1,Sag,3D,1,,,,
Ph4/Sag LAVA Dyn Gado,T1,Sag,3D,1,,,,
Processed Images,,,,,,,screenshot,
Reformatted,,,,,,,,
Reg - diff B0 B1200 SENSE,DWI,,,,,1200,,
Rep 3Plans EXPI,,,,,,,loc,
REPERAGE,,,,,,,loc,
RESULTS_OLEA_ANALYSIS,,,,,,,capture,
SAG LAVA HR TARDIF HR,T1,Sag,3D,1,,,,
SAG LAVA TARDIF HR,T1,Sag,3D,1,,,,
